Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Review Rating Missing Flag,purchase_frequency_annual,purchase_count,repeat_purchase_ratio,estimated_total_spend,avg_order_value_proxy,promo_used_flag,organic_customer_flag,discount_dependency_score,low_promo_dependency_flag,satisfaction_flag,rating_segment,subscription_flag,engagement_score,purchase_count_percentile,frequency_percentile,behavioral_loyalty_score,behavioral_loyalty_flag,spend_percentile,aov_percentile,rating_percentile,value_quality_loyalty_score,value_quality_loyalty_flag,loyalty_classification,age_group,spending_tier,loyalty_tier,customer_archetype,ideal_candidate_flag,dashboard_segment,purchase_history_band,promo_dependency_band,retention_proxy_score
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,0,1,15,0.9333333333333332,375,25,1,0,100,0,0,Good,1,60.0,0.2719230769230769,0.0734615384615384,33.47435897435898,0,0.1265384615384615,0.0711538461538461,0.4369230769230769,15.578846153846154,0,Not Loyal by Either Definition,Teen,Low,Bronze,Discount Hunter,0,Discount Hunter,Early Repeat,Promo Used,18.96
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,0,1,14,0.9285714285714286,280,20,1,0,100,0,0,Good,1,60.0,0.2512820512820513,0.0734615384615384,32.450274725274724,0,0.0861538461538461,0.0067948717948717,0.4369230769230769,12.35448717948718,0,Not Loyal by Either Definition,36-45,Low,Bronze,Discount Hunter,0,Discount Hunter,Early Repeat,Promo Used,17.69
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,0,4,8,0.875,448,56,1,0,100,0,1,Excellent,1,100.0,0.1394871794871794,0.2938461538461538,34.06153846153847,0,0.1566666666666666,0.4547435897435897,0.9914102564102564,37.46346153846154,0,Not Loyal by Either Definition,46-60,Low,Bronze,Discount Hunter,0,Discount Hunter,Early Repeat,Promo Used,39.69
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,0,4,42,0.9761904761904762,3948,94,1,0,100,0,1,Excellent,1,100.0,0.8129487179487179,0.2938461538461538,66.39111721611721,0,0.956153846153846,0.9155128205128203,0.7667948717948718,76.4698717948718,0,Not Loyal by Either Definition,46-60,Premium,Gold,Discount Hunter,0,Discount Hunter,Established,Promo Used,63.99
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,0,52,15,0.9333333333333332,720,48,1,0,100,0,1,Excellent,1,100.0,0.2719230769230769,0.931025641025641,63.48910256410256,0,0.27,0.3606410256410256,0.6465384615384615,32.74679487179487,0,Not Loyal by Either Definition,26-35,Medium,Gold,Discount Hunter,0,Discount Hunter,Early Repeat,Promo Used,51.76
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,0,12,17,0.9411764705882352,527,31,1,0,100,0,1,Excellent,1,100.0,0.3114102564102564,0.5117948717948718,50.749811463046754,0,0.191025641025641,0.148076923076923,0.8852564102564102,29.048076923076927,0,Not Loyal by Either Definition,46-60,Low,Silver,Discount Hunter,0,Discount Hunter,Growing,Promo Used,45.1
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,0,12,46,0.9782608695652174,3634,79,1,0,100,0,1,Excellent,1,100.0,0.8887179487179487,0.5117948717948718,77.47034559643255,1,0.9334615384615385,0.7312820512820513,0.8852564102564102,73.32564102564103,0,Behaviorally Loyal Only,26-35,Premium,Elite,Discount Loyalist,1,Discount Loyalist,Established,Promo Used,68.19
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,0,1,38,0.9736842105263158,2546,67,1,0,100,0,1,Excellent,1,100.0,0.7342307692307692,0.0734615384615384,55.08522267206478,0,0.8001282051282051,0.5874358974358974,0.9619230769230768,65.92948717948718,0,Not Loyal by Either Definition,36-45,Premium,Silver,Discount Hunter,0,Discount Hunter,Established,Promo Used,56.27
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,0,4,46,0.9782608695652174,1748,38,1,0,100,0,0,Good,1,60.0,0.8887179487179487,0.2938461538461538,69.84214046822743,0,0.6357692307692308,0.2426923076923076,0.3137179487179487,37.7724358974359,0,Not Loyal by Either Definition,46-60,High,Gold,Discount Hunter,0,Discount Hunter,Established,Promo Used,40.87
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,0,4,39,0.9743589743589745,3549,91,1,0,100,0,1,Excellent,1,100.0,0.7532051282051282,0.2938461538461538,63.66602564102565,0,0.9255128205128204,0.8794871794871795,0.8444871794871794,75.8974358974359,0,Not Loyal by Either Definition,36-45,Premium,Gold,Discount Hunter,0,Discount Hunter,Established,Promo Used,62.62
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,0,26,49,0.979591836734694,1617,33,1,0,100,0,1,Good,1,100.0,0.953974358974359,0.7223076923076923,87.80145211930926,1,0.5941025641025641,0.1775641025641025,0.6043589743589743,40.29038461538462,0,Behaviorally Loyal Only,46-60,High,Elite,Discount Loyalist,0,Discount Loyalist,Established,Promo Used,64.58
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,0,26,45,0.9777777777777776,3105,69,1,0,100,0,1,Excellent,1,100.0,0.8688461538461538,0.7223076923076923,83.93440170940171,1,0.8792307692307693,0.6134615384615385,0.8444871794871794,67.39551282051282,0,Behaviorally Loyal Only,26-35,Premium,Elite,Discount Loyalist,1,Discount Loyalist,Established,Promo Used,69.62
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,0,52,11,0.9090909090909092,495,45,1,0,100,0,0,Average,1,60.0,0.1914102564102564,0.931025641025641,59.381177156177145,0,0.1791025641025641,0.3266666666666666,0.1144871794871794,17.620512820512822,0,Not Loyal by Either Definition,26-35,Low,Gold,Discount Hunter,0,Discount Hunter,Early Repeat,Promo Used,31.13
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,1,4,45,0.9777777777777776,1665,37,1,0,100,0,0,Good,1,60.0,0.8688461538461538,0.2938461538461538,68.93824786324787,0,0.6114102564102564,0.2296153846153846,0.5167948717948718,40.53269230769231,0,Not Loyal by Either Definition,26-35,High,Gold,Discount Hunter,0,Discount Hunter,Established,Promo Used,41.16
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,0,12,19,0.9473684210526316,1140,60,1,0,100,0,1,Excellent,1,100.0,0.3483333333333333,0.5117948717948718,52.53518893387314,0,0.4353846153846153,0.5030769230769231,0.6871794871794872,43.73589743589744,0,Not Loyal by Either Definition,60+,Medium,Silver,Discount Hunter,0,Discount Hunter,Growing,Promo Used,49.57
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,0,4,32,0.96875,2432,76,1,0,100,0,1,Excellent,1,100.0,0.6153846153846154,0.2938461538461538,57.351923076923086,0,0.7791025641025641,0.6952564102564103,0.8444871794871794,65.4352564102564,0,Not Loyal by Either Definition,60+,Premium,Silver,Discount Hunter,0,Discount Hunter,Growing,Promo Used,57.17
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,0,1,41,0.975609756097561,1599,39,1,0,100,0,1,Excellent,1,100.0,0.7934615384615384,0.0734615384615384,57.78911819887429,0,0.588076923076923,0.2546153846153846,0.8048717948717948,45.98589743589744,0,Not Loyal by Either Definition,60+,High,Silver,Discount Hunter,0,Discount Hunter,Established,Promo Used,52.5
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,0,1,16,0.9375,1600,100,1,0,100,0,1,Excellent,1,100.0,0.293076923076923,0.0734615384615384,34.50961538461538,0,0.5892307692307692,0.9955128205128204,0.6465384615384615,61.38782051282051,0,Not Loyal by Either Definition,18-25,High,Bronze,Discount Hunter,0,Discount Hunter,Early Repeat,Promo Used,45.88
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,0,26,20,0.95,1380,69,1,0,100,0,0,Good,1,60.0,0.3691025641025641,0.7223076923076923,60.890384615384605,0,0.5184615384615384,0.6134615384615385,0.4748717948717949,45.572435897435895,0,Not Loyal by Either Definition,18-25,High,Gold,Discount Hunter,0,Discount Hunter,Growing,Promo Used,38.79
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,0,52,46,0.9782608695652174,2438,53,1,0,100,0,1,Excellent,1,100.0,0.8887179487179487,0.931025641025641,92.14342251950949,1,0.7801282051282051,0.4217948717948718,0.8444871794871794,58.6397435897436,0,Behaviorally Loyal Only,36-45,Premium,Elite,Discount Loyalist,1,Discount Loyalist,Established,Promo Used,71.12
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,0,1,26,0.9615384615384616,546,21,1,0,100,0,0,Average,1,60.0,0.4938461538461538,0.0734615384615384,44.025000000000006,0,0.2016666666666666,0.0193589743589743,0.1532051282051282,11.61474358974359,0,Not Loyal by Either Definition,46-60,Low,Bronze,Discount Hunter,0,Discount Hunter,Growing,Promo Used,22.71
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,0,4,46,0.9782608695652174,1978,43,1,0,100,0,0,Average,1,60.0,0.8887179487179487,0.2938461538461538,69.84214046822743,0,0.6907692307692308,0.3021794871794871,0.1532051282051282,38.24935897435898,0,Not Loyal by Either Definition,46-60,High,Gold,Discount Hunter,0,Discount Hunter,Established,Promo Used,40.99
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,0,52,37,0.972972972972973,1998,54,1,0,100,0,1,Excellent,1,100.0,0.7151282051282051,0.931025641025641,84.22612612612612,0,0.695,0.432948717948718,0.8048717948717948,54.72115384615384,0,Not Loyal by Either Definition,46-60,High,Elite,Discount Hunter,0,Discount Hunter,Established,Promo Used,66.58
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,0,12,39,0.9743589743589745,2145,55,1,0,100,0,0,Average,1,60.0,0.7532051282051282,0.5117948717948718,71.29423076923077,1,0.7248717948717949,0.4428205128205128,0.0773076923076923,41.61153846153846,0,Behaviorally Loyal Only,36-45,High,Gold,Discount Loyalist,0,Discount Loyalist,Established,Promo Used,42.49
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,0,26,35,0.9714285714285714,1050,30,1,0,100,0,1,Excellent,1,100.0,0.6797435897435897,0.7223076923076923,75.29780219780218,0,0.3987179487179487,0.1352564102564102,0.8444871794871794,36.21987179487179,0,Not Loyal by Either Definition,60+,Medium,Elite,Discount Hunter,0,Discount Hunter,Growing,Promo Used,57.94
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,1,26,40,0.975,1120,28,1,0,100,0,0,Good,1,60.0,0.7725641025641026,0.7223076923076923,79.54615384615384,1,0.4285897435897436,0.1082051282051282,0.5167948717948718,30.184615384615388,0,Behaviorally Loyal Only,46-60,Medium,Elite,Discount Loyalist,0,Discount Loyalist,Established,Promo Used,43.34
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,0,4,8,0.875,472,59,1,0,100,0,1,Excellent,1,100.0,0.1394871794871794,0.2938461538461538,34.06153846153847,0,0.1674358974358974,0.4906410256410256,0.8852564102564102,36.66858974358975,0,Not Loyal by Either Definition,46-60,Low,Bronze,Discount Hunter,0,Discount Hunter,Early Repeat,Promo Used,39.49
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,0,52,27,0.9629629629629628,540,20,1,0,100,0,0,Average,1,60.0,0.5138461538461538,0.931025641025641,74.96823361823361,0,0.1984615384615384,0.0067948717948717,0.0373076923076923,8.85448717948718,0,Not Loyal by Either Definition,36-45,Low,Elite,Discount Hunter,0,Discount Hunter,Growing,Promo Used,35.95
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,0,52,36,0.9722222222222222,864,24,1,0,100,0,0,Good,1,60.0,0.6979487179487179,0.931025641025641,83.43803418803418,0,0.3241025641025641,0.0575641025641025,0.5603846153846154,25.61089743589744,0,Not Loyal by Either Definition,26-35,Medium,Elite,Discount Hunter,0,Discount Hunter,Growing,Promo Used,43.95
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,0,26,36,0.9722222222222222,3384,94,1,0,100,0,1,Excellent,1,100.0,0.6979487179487179,0.7223076923076923,76.13290598290598,0,0.9105128205128206,0.9155128205128203,0.6871794871794872,73.05192307692309,0,Not Loyal by Either Definition,46-60,Premium,Elite,Discount Hunter,0,Discount Hunter,Growing,Promo Used,67.52
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,0,1,50,0.98,1400,28,1,0,100,0,0,Average,1,60.0,0.972948717948718,0.0734615384615384,65.95384615384616,0,0.5241025641025641,0.1082051282051282,0.1952564102564102,27.57435897435897,0,Not Loyal by Either Definition,36-45,High,Gold,Discount Hunter,0,Discount Hunter,Established,Promo Used,36.57
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,0,52,47,0.9787234042553192,3431,73,1,0,100,0,1,Excellent,1,100.0,0.9093589743589744,0.931025641025641,93.08151936715768,1,0.9135897435897437,0.661025641025641,0.8852564102564102,70.77435897435898,0,Behaviorally Loyal Only,36-45,Premium,Elite,Discount Loyalist,1,Discount Loyalist,Established,Promo Used,74.58
