Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Review Rating Missing Flag,purchase_frequency_annual,purchase_count,repeat_purchase_ratio,estimated_total_spend,avg_order_value_proxy,promo_used_flag,organic_customer_flag,discount_dependency_score,low_promo_dependency_flag,satisfaction_flag,rating_segment,subscription_flag,engagement_score,purchase_count_percentile,frequency_percentile,behavioral_loyalty_score,behavioral_loyalty_flag,spend_percentile,aov_percentile,rating_percentile,value_quality_loyalty_score,value_quality_loyalty_flag,loyalty_classification,age_group,spending_tier,loyalty_tier,customer_archetype,ideal_candidate_flag
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,0,26,27,0.9629629629629629,918,34,1,0,100,0,1,Excellent,1,100.0,0.5138461538461538,0.7223076923076923,67.66310541310541,0,0.3432051282051282,0.18987179487179487,0.6465384615384615,31.40576923076923,0,Not Loyal by Either Definition,46-60,Medium,Gold,Discount Hunter,0
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,0,26,11,0.9090909090909091,748,68,1,0,100,0,1,Excellent,1,100.0,0.1914102564102564,0.7223076923076923,52.07604895104896,0,0.2812820512820513,0.6015384615384616,0.9619230769230769,45.52820512820513,0,Not Loyal by Either Definition,26-35,Medium,Silver,Discount Hunter,0
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,0,26,38,0.9736842105263158,2736,72,1,0,100,0,1,Excellent,1,100.0,0.7342307692307692,0.7223076923076923,77.79483805668016,0,0.8302564102564103,0.6485897435897436,0.8048717948717948,65.5224358974359,0,Not Loyal by Either Definition,60+,Premium,Elite,Discount Hunter,0
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,0,52,32,0.96875,1632,51,1,0,100,0,1,Excellent,1,100.0,0.6153846153846154,0.931025641025641,79.65320512820512,0,0.5994871794871794,0.39615384615384613,0.8852564102564102,51.58846153846154,0,Not Loyal by Either Definition,60+,High,Elite,Discount Hunter,0
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,0,52,35,0.9714285714285714,1855,53,1,0,100,0,1,Excellent,1,100.0,0.6797435897435897,0.931025641025641,82.6029304029304,0,0.6628205128205128,0.4217948717948718,0.8852564102564102,54.76282051282051,0,Not Loyal by Either Definition,60+,High,Elite,Discount Hunter,0
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,0,12,9,0.8888888888888888,729,81,1,0,100,0,0,Average,1,60.0,0.1564102564102564,0.5117948717948718,42.729059829059835,0,0.2743589743589744,0.7560256410256411,0.11448717948717949,32.164743589743594,0,Not Loyal by Either Definition,60+,Medium,Bronze,Discount Hunter,0
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,0,26,45,0.9777777777777777,1620,36,1,0,100,0,1,Excellent,1,100.0,0.8688461538461538,0.7223076923076923,83.93440170940171,1,0.5955128205128205,0.215,0.6465384615384615,42.12628205128205,0,Behaviorally Loyal Only,18-25,High,Elite,Discount Loyalist,0
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,0,4,37,0.972972972972973,1406,38,1,0,100,0,1,Excellent,1,100.0,0.7151282051282051,0.29384615384615387,61.924844074844074,0,0.5269230769230769,0.24269230769230768,0.8852564102564102,44.84935897435898,0,Not Loyal by Either Definition,46-60,High,Gold,Discount Hunter,0
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,0,52,18,0.9444444444444444,864,48,1,0,100,0,1,Excellent,1,100.0,0.32897435897435895,0.931025641025641,66.27863247863247,0,0.3241025641025641,0.3606410256410256,0.8444871794871794,38.86987179487179,0,Not Loyal by Either Definition,46-60,Medium,Gold,Discount Hunter,0
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,0,26,47,0.9787234042553191,4230,90,1,0,100,0,0,Good,1,60.0,0.9093589743589744,0.7223076923076923,85.77639116202947,1,0.9744871794871794,0.8652564102564102,0.3137179487179487,66.88525641025642,0,Behaviorally Loyal Only,60+,Premium,Elite,Discount Loyalist,0
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,0,4,51,0.9803921568627451,2601,51,1,0,100,0,0,Average,1,60.0,0.9902564102564102,0.29384615384615387,74.45399698340874,0,0.8096153846153846,0.39615384615384613,0.11448717948717949,44.57820512820513,0,Not Loyal by Either Definition,18-25,Premium,Elite,Discount Hunter,0
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,0,4,23,0.9565217391304348,1426,62,1,0,100,0,1,Excellent,1,100.0,0.43333333333333335,0.29384615384615387,48.91505016722408,0,0.536923076923077,0.523974358974359,0.6465384615384615,47.50705128205128,0,Not Loyal by Either Definition,26-35,High,Silver,Discount Hunter,0
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,0,1,33,0.9696969696969697,1221,37,1,0,100,0,0,Good,1,60.0,0.6382051282051282,0.07346153846153847,50.68432400932401,0,0.46384615384615385,0.2296153846153846,0.2755128205128205,29.804487179487175,0,Not Loyal by Either Definition,46-60,Medium,Silver,Discount Hunter,0
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,0,52,41,0.975609756097561,3608,88,1,0,100,0,1,Excellent,1,100.0,0.7934615384615384,0.931025641025641,87.80386178861788,1,0.9305128205128205,0.8392307692307692,0.7667948717948718,73.5371794871795,0,Behaviorally Loyal Only,26-35,Premium,Elite,Discount Loyalist,1
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,0,52,17,0.9411764705882353,374,22,1,0,100,0,0,Average,1,60.0,0.31141025641025644,0.931025641025641,65.42288838612367,0,0.12564102564102564,0.030897435897435897,0.15320512820512822,8.862179487179487,0,Not Loyal by Either Definition,Teen,Low,Gold,Discount Hunter,0
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,0,1,15,0.9333333333333333,375,25,1,0,100,0,0,Good,1,60.0,0.27192307692307693,0.07346153846153847,33.47435897435898,0,0.12653846153846154,0.07115384615384615,0.4369230769230769,15.578846153846154,0,Not Loyal by Either Definition,Teen,Low,Bronze,Discount Hunter,0
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,0,1,14,0.9285714285714286,280,20,1,0,100,0,0,Good,1,60.0,0.2512820512820513,0.07346153846153847,32.450274725274724,0,0.08615384615384615,0.006794871794871795,0.4369230769230769,12.354487179487181,0,Not Loyal by Either Definition,36-45,Low,Bronze,Discount Hunter,0
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,0,4,8,0.875,448,56,1,0,100,0,1,Excellent,1,100.0,0.13948717948717948,0.29384615384615387,34.06153846153847,0,0.15666666666666668,0.45474358974358975,0.9914102564102564,37.46346153846154,0,Not Loyal by Either Definition,46-60,Low,Bronze,Discount Hunter,0
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,0,4,42,0.9761904761904762,3948,94,1,0,100,0,1,Excellent,1,100.0,0.8129487179487179,0.29384615384615387,66.39111721611721,0,0.9561538461538461,0.9155128205128205,0.7667948717948718,76.4698717948718,0,Not Loyal by Either Definition,46-60,Premium,Gold,Discount Hunter,0
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,0,52,15,0.9333333333333333,720,48,1,0,100,0,1,Excellent,1,100.0,0.27192307692307693,0.931025641025641,63.48910256410256,0,0.27,0.3606410256410256,0.6465384615384615,32.74679487179487,0,Not Loyal by Either Definition,26-35,Medium,Gold,Discount Hunter,0
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,0,12,17,0.9411764705882353,527,31,1,0,100,0,1,Excellent,1,100.0,0.31141025641025644,0.5117948717948718,50.749811463046754,0,0.191025641025641,0.14807692307692308,0.8852564102564102,29.048076923076927,0,Not Loyal by Either Definition,46-60,Low,Silver,Discount Hunter,0
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,0,12,46,0.9782608695652174,3634,79,1,0,100,0,1,Excellent,1,100.0,0.8887179487179487,0.5117948717948718,77.47034559643255,1,0.9334615384615385,0.7312820512820513,0.8852564102564102,73.32564102564103,0,Behaviorally Loyal Only,26-35,Premium,Elite,Discount Loyalist,1
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,0,1,38,0.9736842105263158,2546,67,1,0,100,0,1,Excellent,1,100.0,0.7342307692307692,0.07346153846153847,55.08522267206478,0,0.8001282051282051,0.5874358974358974,0.9619230769230769,65.92948717948718,0,Not Loyal by Either Definition,36-45,Premium,Silver,Discount Hunter,0
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,0,4,46,0.9782608695652174,1748,38,1,0,100,0,0,Good,1,60.0,0.8887179487179487,0.29384615384615387,69.84214046822743,0,0.6357692307692308,0.24269230769230768,0.3137179487179487,37.7724358974359,0,Not Loyal by Either Definition,46-60,High,Gold,Discount Hunter,0
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,0,4,39,0.9743589743589743,3549,91,1,0,100,0,1,Excellent,1,100.0,0.7532051282051282,0.29384615384615387,63.66602564102565,0,0.9255128205128205,0.8794871794871795,0.8444871794871794,75.8974358974359,0,Not Loyal by Either Definition,36-45,Premium,Gold,Discount Hunter,0
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,0,26,49,0.9795918367346939,1617,33,1,0,100,0,1,Good,1,100.0,0.953974358974359,0.7223076923076923,87.80145211930926,1,0.5941025641025641,0.17756410256410257,0.6043589743589743,40.29038461538462,0,Behaviorally Loyal Only,46-60,High,Elite,Discount Loyalist,0
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,0,26,45,0.9777777777777777,3105,69,1,0,100,0,1,Excellent,1,100.0,0.8688461538461538,0.7223076923076923,83.93440170940171,1,0.8792307692307693,0.6134615384615385,0.8444871794871794,67.39551282051282,0,Behaviorally Loyal Only,26-35,Premium,Elite,Discount Loyalist,1
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,0,52,11,0.9090909090909091,495,45,1,0,100,0,0,Average,1,60.0,0.1914102564102564,0.931025641025641,59.381177156177145,0,0.17910256410256412,0.32666666666666666,0.11448717948717949,17.620512820512822,0,Not Loyal by Either Definition,26-35,Low,Gold,Discount Hunter,0
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,1,4,45,0.9777777777777777,1665,37,1,0,100,0,0,Good,1,60.0,0.8688461538461538,0.29384615384615387,68.93824786324787,0,0.6114102564102564,0.2296153846153846,0.5167948717948718,40.53269230769231,0,Not Loyal by Either Definition,26-35,High,Gold,Discount Hunter,0
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,0,12,19,0.9473684210526315,1140,60,1,0,100,0,1,Excellent,1,100.0,0.34833333333333333,0.5117948717948718,52.535188933873144,0,0.43538461538461537,0.5030769230769231,0.6871794871794872,43.73589743589744,0,Not Loyal by Either Definition,60+,Medium,Silver,Discount Hunter,0
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,0,4,32,0.96875,2432,76,1,0,100,0,1,Excellent,1,100.0,0.6153846153846154,0.29384615384615387,57.351923076923086,0,0.7791025641025641,0.6952564102564103,0.8444871794871794,65.4352564102564,0,Not Loyal by Either Definition,60+,Premium,Silver,Discount Hunter,0
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,0,1,41,0.975609756097561,1599,39,1,0,100,0,1,Excellent,1,100.0,0.7934615384615384,0.07346153846153847,57.78911819887429,0,0.588076923076923,0.25461538461538463,0.8048717948717948,45.985897435897435,0,Not Loyal by Either Definition,60+,High,Silver,Discount Hunter,0
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,0,1,16,0.9375,1600,100,1,0,100,0,1,Excellent,1,100.0,0.29307692307692307,0.07346153846153847,34.50961538461538,0,0.5892307692307692,0.9955128205128205,0.6465384615384615,61.38782051282051,0,Not Loyal by Either Definition,18-25,High,Bronze,Discount Hunter,0
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,0,26,20,0.95,1380,69,1,0,100,0,0,Good,1,60.0,0.3691025641025641,0.7223076923076923,60.890384615384605,0,0.5184615384615384,0.6134615384615385,0.4748717948717949,45.572435897435895,0,Not Loyal by Either Definition,18-25,High,Gold,Discount Hunter,0
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,0,52,46,0.9782608695652174,2438,53,1,0,100,0,1,Excellent,1,100.0,0.8887179487179487,0.931025641025641,92.14342251950947,1,0.7801282051282051,0.4217948717948718,0.8444871794871794,58.639743589743595,0,Behaviorally Loyal Only,36-45,Premium,Elite,Discount Loyalist,1
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,0,1,26,0.9615384615384616,546,21,1,0,100,0,0,Average,1,60.0,0.4938461538461538,0.07346153846153847,44.025000000000006,0,0.20166666666666666,0.019358974358974358,0.15320512820512822,11.61474358974359,0,Not Loyal by Either Definition,46-60,Low,Bronze,Discount Hunter,0
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,0,4,46,0.9782608695652174,1978,43,1,0,100,0,0,Average,1,60.0,0.8887179487179487,0.29384615384615387,69.84214046822743,0,0.6907692307692308,0.30217948717948717,0.15320512820512822,38.24935897435898,0,Not Loyal by Either Definition,46-60,High,Gold,Discount Hunter,0
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,0,52,37,0.972972972972973,1998,54,1,0,100,0,1,Excellent,1,100.0,0.7151282051282051,0.931025641025641,84.22612612612612,0,0.695,0.432948717948718,0.8048717948717948,54.72115384615384,0,Not Loyal by Either Definition,46-60,High,Elite,Discount Hunter,0
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,0,12,39,0.9743589743589743,2145,55,1,0,100,0,0,Average,1,60.0,0.7532051282051282,0.5117948717948718,71.29423076923077,1,0.7248717948717949,0.4428205128205128,0.07730769230769231,41.61153846153846,0,Behaviorally Loyal Only,36-45,High,Gold,Discount Loyalist,0
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,0,26,35,0.9714285714285714,1050,30,1,0,100,0,1,Excellent,1,100.0,0.6797435897435897,0.7223076923076923,75.29780219780218,0,0.39871794871794874,0.13525641025641025,0.8444871794871794,36.21987179487179,0,Not Loyal by Either Definition,60+,Medium,Elite,Discount Hunter,0
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,1,26,40,0.975,1120,28,1,0,100,0,0,Good,1,60.0,0.7725641025641026,0.7223076923076923,79.54615384615384,1,0.4285897435897436,0.1082051282051282,0.5167948717948718,30.184615384615388,0,Behaviorally Loyal Only,46-60,Medium,Elite,Discount Loyalist,0
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,0,4,8,0.875,472,59,1,0,100,0,1,Excellent,1,100.0,0.13948717948717948,0.29384615384615387,34.06153846153847,0,0.16743589743589743,0.49064102564102563,0.8852564102564102,36.66858974358975,0,Not Loyal by Either Definition,46-60,Low,Bronze,Discount Hunter,0
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,0,52,27,0.9629629629629629,540,20,1,0,100,0,0,Average,1,60.0,0.5138461538461538,0.931025641025641,74.96823361823361,0,0.19846153846153847,0.006794871794871795,0.037307692307692306,8.85448717948718,0,Not Loyal by Either Definition,36-45,Low,Elite,Discount Hunter,0
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,0,52,36,0.9722222222222222,864,24,1,0,100,0,0,Good,1,60.0,0.6979487179487179,0.931025641025641,83.43803418803418,0,0.3241025641025641,0.05756410256410256,0.5603846153846154,25.61089743589744,0,Not Loyal by Either Definition,26-35,Medium,Elite,Discount Hunter,0
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,0,26,36,0.9722222222222222,3384,94,1,0,100,0,1,Excellent,1,100.0,0.6979487179487179,0.7223076923076923,76.13290598290598,0,0.9105128205128206,0.9155128205128205,0.6871794871794872,73.05192307692309,0,Not Loyal by Either Definition,46-60,Premium,Elite,Discount Hunter,0
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,0,1,50,0.98,1400,28,1,0,100,0,0,Average,1,60.0,0.972948717948718,0.07346153846153847,65.95384615384616,0,0.5241025641025641,0.1082051282051282,0.19525641025641025,27.57435897435897,0,Not Loyal by Either Definition,36-45,High,Gold,Discount Hunter,0
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,0,52,47,0.9787234042553191,3431,73,1,0,100,0,1,Excellent,1,100.0,0.9093589743589744,0.931025641025641,93.08151936715767,1,0.9135897435897435,0.661025641025641,0.8852564102564102,70.77435897435898,0,Behaviorally Loyal Only,36-45,Premium,Elite,Discount Loyalist,1
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,0,26,18,0.9444444444444444,1152,64,1,0,100,0,1,Excellent,1,100.0,0.32897435897435895,0.7223076923076923,58.973504273504275,0,0.44,0.5507692307692308,0.7667948717948718,46.70512820512821,0,Not Loyal by Either Definition,18-25,Medium,Silver,Discount Hunter,0
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,0,12,30,0.9666666666666667,1620,54,1,0,100,0,1,Excellent,1,100.0,0.573076923076923,0.5117948717948718,63.03461538461539,0,0.5955128205128205,0.432948717948718,0.6871794871794872,48.38782051282051,0,Not Loyal by Either Definition,60+,High,Gold,Discount Hunter,0
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,0,52,5,0.8,395,79,1,0,100,0,1,Excellent,1,100.0,0.07487179487179488,0.931025641025641,51.9551282051282,0,0.1341025641025641,0.7312820512820513,0.8444871794871794,40.53589743589743,0,Not Loyal by Either Definition,60+,Low,Silver,Discount Hunter,0
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Cash,Weekly,0,52,18,0.9444444444444444,666,37,1,0,100,0,1,Good,1,100.0,0.32897435897435895,0.931025641025641,66.27863247863247,0,0.2508974358974359,0.2296153846153846,0.6043589743589743,27.863461538461543,0,Not Loyal by Either Definition,46-60,Medium,Gold,Discount Hunter,0
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,0,4,22,0.9545454545454546,1496,68,1,0,100,0,1,Excellent,1,100.0,0.4126923076923077,0.29384615384615387,47.94667832167832,0,0.5575641025641026,0.6015384615384616,0.8852564102564102,55.04615384615386,0,Not Loyal by Either Definition,46-60,High,Silver,Discount Hunter,0
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,0,26,32,0.96875,672,21,1,0,100,0,0,Good,1,60.0,0.6153846153846154,0.7223076923076923,72.34807692307692,0,0.25346153846153846,0.019358974358974358,0.5167948717948718,20.958333333333336,0,Not Loyal by Either Definition,26-35,Medium,Elite,Discount Hunter,0
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,0,52,44,0.9772727272727273,3476,79,1,0,100,0,0,Average,1,60.0,0.8514102564102564,0.931025641025641,90.44481351981352,1,0.92,0.7312820512820513,0.07730769230769231,56.628205128205124,0,Behaviorally Loyal Only,26-35,Premium,Elite,Discount Loyalist,0
